"","filenames.i.","word.count"
"1","006COHENL.html.txt",1026
"2","006HANSEN.html.txt",1086
"3","006HILTON.html.txt",1046
"4","006PACKER.html.txt",980
"5","006PAUL.html.txt",776
"6","006POLLIT.html.txt",1089
"7","006RICHL.html.txt",785
"8","006SCHONE.html.txt",871
"9","013ALFORD.html.txt",1171
"10","013AMESL.html.txt",1093
"11","013BECKER.html.txt",871
"12","013BYRDL.html.txt",615
"13","013COVERPROSE.html.txt",1136
"14","013CRIMEL.html.txt",1080
"15","013DRZALL.html.txt",812
"16","013FERRIS.html.txt",1091
"17","013FUKUYA.html.txt",1323
"18","013HEFFER.html.txt",774
"19","013HOUSTO.html.txt",493
"20","013NOONAN.html.txt",972
"21","013PAULL.html.txt",637
"22","013STARRL.html.txt",590
"23","013STERNL.html.txt",962
"24","013TODARO.html.txt",653
"25","013UPFRON.html.txt",302
"26","01BROUWER.html.txt",987
"27","01campbell.html.txt",940
"28","01CONOVER.html.txt",1365
"29","01fenton.html.txt",736
"30","01ferguson.html.txt",1022
"31","01FISHMAN.html.txt",1187
"32","01GRISHAM.html.txt",1576
"33","01HARRISO.html.txt",1104
"34","01horgan.html.txt",736
"35","01KUNKEL.html.txt",696
"36","01LETHEML.html.txt",2254
"37","01marshall.html.txt",1152
"38","01miles.html.txt",891
"39","01MILLERL.html.txt",1116
"40","01PYEL.html.txt",877
"41","01QUARTL.html.txt",1151
"42","01REICHL.html.txt",1194
"43","01SCHULBE.html.txt",1662
"44","01SCHULMA.html.txt",1318
"45","01SCHWARZ.html.txt",700
"46","01shelf.html.1.txt",888
"47","01shelf.html.txt",935
"48","01tbr.html.txt",482
"49","01WINNERL.html.txt",821
"50","01ZAKARIA.html.txt",2442
"51","020COVERHELLER.html.txt",2680
"52","020DEBELL.html.txt",1001
"53","020EBERST.html.txt",1205
"54","020GENZLI.html.txt",1934
"55","020LYALLL.html.txt",1295
"56","020PROCTO.html.txt",619
"57","020QUEENA.html.txt",2128
"58","020RAFFER.html.txt",1266
"59","020SHAFER.html.txt",1168
"60","020SHESOL.html.txt",979
"61","020THOMPS.html.txt",1173
"62","020TUCKER.html.txt",1058
"63","020UPFRON.html.txt",363
"64","020ZACHAR.html.txt",1299
"65","027FRASER.html.txt",1171
"66","027GEWENL.html.txt",674
"67","027JAMESL.html.txt",3108
"68","027KUGELL.html.txt",1154
"69","027MALLON.html.txt",1046
"70","027REHAK.html.txt",653
"71","027SCHILL.html.txt",1692
"72","027STERNL.html.txt",1170
"73","027TEPPER.html.txt",1261
"74","028TBR.html.txt",496
"75","02armchair.html.1.txt",371
"76","02barc.html.txt",789
"77","02BLYTHEL.html.txt",1831
"78","02brouwer.html.txt",1162
"79","02BURROUG.html.txt",1153
"80","02clines.html.txt",960
"81","02cox.html.txt",853
"82","02delong.html.txt",733
"83","02ferrell.html.txt",607
"84","02foer.html.txt",757
"85","02gates.html.txt",878
"86","02genzlinger.html.txt",657
"87","02heilbrunn.html.txt",916
"88","02kirn.html.txt",1246
"89","02lee.html.txt",909
"90","02lewis.html.txt",1182
"91","02mahler.html.txt",804
"92","02mcmahon.html.txt",1034
"93","02metcalf.html.txt",1627
"94","02MILESL.html.txt",1316
"95","02morrice.html.txt",618
"96","02NUSSBAUM.html.txt",616
"97","02powell.html.txt",814
"98","02prose.html.txt",901
"99","02quammen.html.txt",756
"100","02reich.html.txt",849
"101","02rosen.html.txt",887
"102","02SALZBER.html.txt",1339
"103","02SCHILLI.html.txt",1309
"104","02schillinger.html.txt",1026
"105","02schmemann.html.txt",1007
"106","02SIMON.html.txt",1889
"107","02SINGERL.html.txt",1424
"108","02sisario.html.txt",711
"109","02solomon.html.txt",734
"110","02TBR.html.txt",476
"111","02thomson.html.txt",954
"112","02tomasky.html.txt",1335
"113","02vincent.html.txt",961
"114","02wagner.html.txt",1012
"115","02weinberger.html.txt",931
"116","02windolf.html.txt",725
"117","02wolff.html.txt",1734
"118","03AHMEDL.html.txt",703
"119","03ALTHOUS.html.txt",999
"120","03BAKE01.html.txt",1216
"121","03BARD.html.txt",244
"122","03BERMAN.html.txt",5525
"123","03BLODGET.html.txt",1274
"124","03BLOUNTL.html.txt",1269
"125","03BOOK1.html.txt",332
"126","03CARSONL.html.txt",1493
"127","03COWLESL.html.txt",1224
"128","03CRIMEL.html.txt",968
"129","03DERASMO.html.txt",1185
"130","03DRZALL.html.txt",814
"131","03FRIEDEL.html.txt",796
"132","03GENZING.html.txt",955
"133","03HELLERL.html.txt",1468
"134","03ISAACSO.html.txt",914
"135","03KAMINE.html.txt",603
"136","03KENNEDY.html.txt",1174
"137","03KIRBY.html.txt",609
"138","03LECLAIR.html.txt",1192
"139","03LEWISL.html.txt",945
"140","03MCWHORT.html.txt",1113
"141","03MESSUDL.html.txt",961
"142","03MORRICE.html.txt",908
"143","03MUSICIT.html.txt",2367
"144","03OZICKL.html.txt",2601
"145","03PAULL.html.1.txt",1210
"146","03PAULL.html.txt",622
"147","03ROSENL.html.txt",1245
"148","03SCHILLI.html.txt",1000
"149","03SELIGMA.html.txt",741
"150","03shelf.html.3.txt",1052
