file_name,file_name_complete,reviewer,reviewer_gender,author,author_gender,multiple,date
006COHENL.html,006COHENL.html.txt,Patricia Cohen,female,Barbara Holland,female,,2005
006HANSEN.html,006HANSEN.html.txt,Suzy Hansen,female,Mary McGarry Morris,female,,2005
006HILTON.html,006HILTON.html.txt,Isabel Hilton,female,Hugh Miles,male,,2005
006PACKER.html,006PACKER.html.txt,Zz Packer,female,Charles Johnson,male,,2005
006PAUL.html,006PAUL.html.txt,Pamela Paul,female,Martha Stout,female,,2005
006POLLIT.html,006POLLIT.html.txt,Katha Pollitt,female,Masha Gessen,female,,2005
006RICHL.html,006RICHL.html.txt,Nathaniel Rich,male,Adam Mansbach,male,,2005
006SCHONE.html,006SCHONE.html.txt,Mark Schone,male,Kevin Guilfoile,male,,2005
013ALFORD.html,013ALFORD.html.txt,Henry Alford,male,Peter Lefcourt,male,,2005
013AMESL.html,013AMESL.html.txt,Jonathan Ames,male,Julian Fellowes,male,,2005
013BECKER.html,013BECKER.html.txt,Alida Becker,female,Frieda Arkin,female,,2005
013BYRDL.html,013BYRDL.html.txt,Max Byrd,male,Elizabeth Gaffney,female,,2005
013COVERPROSE.html,013COVERPROSE.html.txt,Francine Prose,female,Jeannette Walls,female,,2005
013CRIMEL.html,013CRIMEL.html.txt,Marilyn Stasio,female,All Flow Robert B Parker,male,,2005
013DRZALL.html,013DRZALL.html.txt,Dawn Drzal,female,Alexander Mccall Smith,male,,2005
013FERRIS.html,013FERRIS.html.txt,Timothy Ferris,male,James Hamilton,male,,2005
013FUKUYA.html,013FUKUYA.html.txt,Francis Fukuyama,male,Max Weber,male,,2005
013HEFFER.html,013HEFFER.html.txt,Virginia Heffernan,female,Darcey Steinke,female,,2005
013HOUSTO.html,013HOUSTO.html.txt,Nancy Rosen,female,Susan Shapiro,female,,2005
013NOONAN.html,013NOONAN.html.txt,John T. Noonan Jr.,male,Robert F Drinan,male,,2005
013PAULL.html,013PAULL.html.txt,Pamela Paul,female,Lauren Henderson,female,,2005
013STARRL.html,013STARRL.html.txt,Alexandra Starr,female,Azadeh Moaveni,female,,2005
013STERNL.html,013STERNL.html.txt,and,male,Phyllis Diller,female,,2005
013TODARO.html,013TODARO.html.txt,Lenora Todaro,female,Pablo Medina,male,,2005
013UPFRON.html,013UPFRON.html.txt,The Editors,female,Mike Meyer,male,,2005
01BROUWER.html,01BROUWER.html.txt,Joel Brouwer,male,Kevin Young,male,,2005
01campbell.html,01campbell.html.txt,James Campbell,male,Isaac Babel;James Campbell,male,y,2006
01CONOVER.html,01CONOVER.html.txt,Ted Conover,male,Steve Bogira,male,,2005
01fenton.html,01fenton.html.txt,James Fenton,male,James Fenton,male,,2006
01FISHMAN.html,01FISHMAN.html.txt,Boris Fishman,male,Marina Lewycka,female,,2005
01GRISHAM.html,01GRISHAM.html.txt,John Grisham,male,Buzz Bissinger,male,,2005
01HARRISO.html,01HARRISO.html.txt,Kathryn Harrison,female,Sue Miller,female,,2005
01horgan.html,01horgan.html.txt,John Horgan,male,Albert Einstein,male,,2006
01KUNKEL.html,01KUNKEL.html.txt,Benjamin Kunkel,male,Jeanette Winterson,female,,2005
01LETHEML.html,01LETHEML.html.txt,Jonathan Lethem,male,Franz Kafka,male,,2005
01marshall.html,01marshall.html.txt,Megan Marshall,female,Anthony Holden,male,,2006
01MILLERL.html,01MILLERL.html.txt,Laura Miller,female,Nicole Krauss,female,,2005
01PYEL.html,01PYEL.html.txt,Michael Pye,male,Sybille Bedford,female,,2005
01QUARTL.html,01QUARTL.html.txt,Alissa Quart,female,Christina Hoff Sommers,female,,2005
01REICHL.html,01REICHL.html.txt,Walter Reich,male,Roger Cohen,male,,2005
01SCHULBE.html,01SCHULBE.html.txt,Budd Schulberg,male,Orson Welles,male,,2005
01SCHULMA.html,01SCHULMA.html.txt,Polly Shulman,female,Rebecca Goldstein,female,,2005
01SCHWARZ.html,01SCHWARZ.html.txt,Alan Schwarz,male,Frank Deford,male,,2005
01shelf.html,01shelf.html.txt,Devin Leonard,male,John Maynard Keynes,male,,2009
01shelf.html.1,01shelf.html.1.txt,Nancy F. Koehn,female,Marc Freedman,male,,2011
01WINNERL.html,01WINNERL.html.txt,Lauren F. Winner,female,Anne Lamott,female,,2005
01ZAKARIA.html,01ZAKARIA.html.txt,Fareed Zakaria,male,Thomas L Friedman,male,,2005
020COVERHELLER.html,020COVERHELLER.html.txt,Zoe Heller,female,Ian Mcewan,male,,2005
020DEBELL.html,020DEBELL.html.txt,Christopher De Bellaigue,male,Amitava Kumar,male,,2005
020EBERST.html,020EBERST.html.txt,Fernanda Eberstadt,female,Steve Stern,male,,2005
020LYALLL.html,020LYALLL.html.txt,Sarah Lyall,female,Jennie Erdal,female,,2005
020PROCTO.html,020PROCTO.html.txt,Minna Proctor,female,Linda Ferri,female,,2005
020QUEENA.html,020QUEENA.html.txt,Joe Queenan,male,Newt  Hillary Rodham Clinton,male,,2005
020RAFFER.html,020RAFFER.html.txt,Terrence Rafferty,male,John Edgar Wideman,male,,2005
020SHAFER.html,020SHAFER.html.txt,Jack Shafer,male,Robert S Boynton,male,,2005
020SHESOL.html,020SHESOL.html.txt,Jeff Shesol,male,Patricia O'Toole,female,,2005
020TUCKER.html,020TUCKER.html.txt,Ken Tucker,male,Sharon Waxman,female,,2005
020UPFRON.html,020UPFRON.html.txt,The Editors,female,Book Review,male,,2005
020ZACHAR.html,020ZACHAR.html.txt,Stephanie Zacharek,female,Peter Bogdanovich,male,,2005
027FRASER.html,027FRASER.html.txt,Steve Fraser,male,Kurt Eichenwald,male,,2005
027GEWENL.html,027GEWENL.html.txt,Barry Gewen,male,Arthur C Danto,male,,2005
027JAMESL.html,027JAMESL.html.txt,Clive James,male,Camille Paglia,female,,2005
027KUGELL.html,027KUGELL.html.txt,James Kugel,male,Jaroslav Pelikan,male,,2005
027MALLON.html,027MALLON.html.txt,Thomas Mallon,male,Geraldine Brooks,female,,2005
027REHAK.html,027REHAK.html.txt,Melanie Rehak,female,Chelsea Cain,female,,2005
027SCHILL.html,027SCHILL.html.txt,Liesl Schillinger,female,Francine Prose,female,,2005
027STERNL.html,027STERNL.html.txt,Jane Stern,female,Judith Moore,female,,2005
027TEPPER.html,027TEPPER.html.txt,Anderson Tepper,male,Edgardo Cozarinsky,male,,2005
028TBR.html,028TBR.html.txt,Dwight Garner,male,John Crawford,male,,2005
02armchair.html.1,02armchair.html.1.txt,Richard B. Woodward,male,Kristoffer A Garin,male,,2005
02barc.html,02barc.html.txt,Bruce Barcott,male,Robert Sullivan,male,,2006
02BLYTHEL.html,02BLYTHEL.html.txt,Will Blythe,male,George Plimpton,male,,2005
02brouwer.html,02brouwer.html.txt,Joel Brouwer,male,Ishmael Reed,male,,2006
02BURROUG.html,02BURROUG.html.txt,Bryan Burrough,male,George Tombs,male,,2005
02clines.html,02clines.html.txt,Francis X. Clines,male,Jill Lepore,female,,2005
02cox.html,02cox.html.txt,Ana Marie Cox,female,Katha Pollitt,female,,2006
02delong.html,02delong.html.txt,Brad Delong,male,Louis Uchitelle,male,,2006
02ferrell.html,02ferrell.html.txt,Sarah Ferrell,female,Helen Reddy,female,,2006
02foer.html,02foer.html.txt,Franklin Foer,male,Will Blythe,male,,2006
02gates.html,02gates.html.txt,David Gates,male,Colson Whitehead,male,,2006
